Common name	Scientific name	Status	No.	No. Back
White-winged Scoter	Melanitta deglandi		1	0
Common Scoter	Melanitta nigra		22	2
Black Scoter	Melanitta americana		19	7
Long-tailed Duck	Clangula hyemalis		63	21
Bufflehead	Bucephala albeola		14	0
Common Goldeneye	Bucephala clangula		92	31
Barrow's Goldeneye	Bucephala islandica		22	0
Smew	Mergellus albellus		4	0
Hooded Merganser	Lophodytes cucullatus		24	4
Brazilian Merganser	Mergus octosetaceus		10	0
Common Merganser	Mergus merganser		84	17
Red-breasted Merganser	Mergus serrator		24	4
Black-headed Duck	Heteronetta atricapilla		9	0
Masked Duck	Nomonyx dominicus		7	0
Ruddy Duck	Oxyura jamaicensis		22	8
Lake Duck	Oxyura vittata		1	0
Maccoa Duck	Oxyura maccoa		2	0
Plain Chachalaca	Ortalis vetula		70	52
Grey-headed Chachalaca	Ortalis cinereiceps		27	4
Chestnut-winged Chachalaca	Ortalis garrula		35	3
Rufous-vented Chachalaca	Ortalis ruficauda		41	13
Rufous-headed Chachalaca	Ortalis erythroptera		29	12
Rufous-bellied Chachalaca	Ortalis wagleri		27	4
West Mexican Chachalaca	Ortalis poliocephala		25	24
Chaco Chachalaca	Ortalis canicollis		72	93
White-bellied Chachalaca	Ortalis leucogastra		17	3
Speckled Chachalaca	Ortalis guttata		72	109
Little Chachalaca	Ortalis motmot		29	23
Buff-browed Chachalaca	Ortalis superciliaris		2	1
Band-tailed Guan	Penelope argyrotis		39	8
Bearded Guan	Penelope barbata		26	11
Baudo Guan	Penelope ortoni		12	1
Andean Guan	Penelope montagnii		108	21
Marail Guan	Penelope marail		14	2
Rusty-margined Guan	Penelope superciliaris		23	2
Red-faced Guan	Penelope dabbenei		21	0
Crested Guan	Penelope purpurascens		72	10
Cauca Guan	Penelope perspicax		46	10
White-winged Guan	Penelope albipennis		20	9
Spix's Guan	Penelope jacquacu		45	184
Dusky-legged Guan	Penelope obscura		82	9
White-crested Guan	Penelope pileata		8	1
Chestnut-bellied Guan	Penelope ochrogaster		8	0
White-browed Guan	Penelope jacucaca		1	1
Trinidad Piping Guan	Pipile pipile		1	0
Blue-throated Piping Guan	Pipile cumanensis		29	47
Red-throated Piping Guan	Pipile cujubi		13	4
Black-fronted Piping Guan	Pipile jacutinga		10	0
Wattled Guan	Aburria aburri		52	27
Sickle-winged Guan	Chamaepetes goudotii		32	2
Highland Guan	Penelopina nigra		37	65
Horned Guan	Oreophasis derbianus		15	7
Nocturnal Curassow	Nothocrax urumutum		19	2
Crestless Curassow	Mitu tomentosum		17	1
Salvin's Curassow	Mitu salvini		16	1
Razor-billed Curassow	Mitu tuberosum		23	69
Alagoas Curassow	Mitu mitu		0	0
Helmeted Curassow	Pauxi pauxi		6	0
Horned Curassow	Pauxi unicornis		0	0
Great Curassow	Crax rubra		22	2
Blue-billed Curassow	Crax alberti		25	0
Yellow-knobbed Curassow	Crax daubentoni		6	0
Black Curassow	Crax alector		15	1
Wattled Curassow	Crax globulosa		12	3
Bare-faced Curassow	Crax fasciolata		39	8
Red-billed Curassow	Crax blumenbachii		8	1
Helmeted Guineafowl	Numida meleagris		69	39
Bearded Wood Partridge	Dendrortyx barbatus		7	0
Long-tailed Wood Partridge	Dendrortyx macroura		29	5
Buffy-crowned Wood Partridge	Dendrortyx leucophrys		11	5
Mountain Quail	Oreortyx pictus		64	172
Scaled Quail	Callipepla squamata		49	23
Elegant Quail	Callipepla douglasii		26	2
California Quail	Callipepla californica		79	118
Gambel's Quail	Callipepla gambelii		67	631
Banded Quail	Philortyx fasciatus		14	0
Northern Bobwhite	Colinus virginianus		79	69
Yucatan Bobwhite	Colinus nigrogularis		5	1
Spot-bellied Bobwhite	Colinus leucopogon		14	23
Crested Bobwhite	Colinus cristatus		53	31
Marbled Wood Quail	Odontophorus gujanensis		57	8
Spot-winged Wood Quail	Odontophorus capueira		52	9
Black-eared Wood Quail	Odontophorus melanotis		24	0
Rufous-fronted Wood Quail	Odontophorus erythrops		31	6
Black-fronted Wood Quail	Odontophorus atrifrons		17	2
Chestnut Wood Quail	Odontophorus hyperythrus		87	3
Dark-backed Wood Quail	Odontophorus melanonotus		24	7
Rufous-breasted Wood Quail	Odontophorus speciosus		24	4
Tacarcuna Wood Quail	Odontophorus dialeucos		1	0
Gorgeted Wood Quail	Odontophorus strophium		31	1
Venezuelan Wood Quail	Odontophorus columbianus		6	0
Black-breasted Wood Quail	Odontophorus leucolaemus		11	0
Stripe-faced Wood Quail	Odontophorus balliviani		13	5
Starred Wood Quail	Odontophorus stellatus		24	39
Spotted Wood Quail	Odontophorus guttatus		38	3
Singing Quail	Dactylortyx thoracicus		34	12
Montezuma Quail	Cyrtonyx montezumae		62	22
Ocellated Quail	Cyrtonyx ocellatus		16	1
Tawny-faced Quail	Rhynchortyx cinctus		39	12
Wild Turkey	Meleagris gallopavo		51	51
Ocellated Turkey	Meleagris ocellata		8	0
Ruffed Grouse	Bonasa umbellus		22	10
Spruce Grouse	Falcipennis canadensis		20	0
Sage Grouse	Centrocercus urophasianus		29	1
Gunnison Grouse	Centrocercus minimus		7	0
Dusky Grouse	Dendragapus obscurus		13	0
Sooty Grouse	Dendragapus fuliginosus		19	5
Sharp-tailed Grouse	Tympanuchus phasianellus		39	20
Lesser Prairie Chicken	Tympanuchus pallidicinctus		19	0
Greater Prairie Chicken	Tympanuchus cupido		27	3
White-tailed Ptarmigan	Lagopus leucura		37	0
Rock Ptarmigan	Lagopus muta		36	7
Willow Ptarmigan	Lagopus lagopus		76	36
Himalayan Snowcock	Tetraogallus himalayensis		6	1
Chukar Partridge	Alectoris chukar		22	13
Black Francolin	Francolinus francolinus		35	7
Grey Partridge	Perdix perdix		151	38
Red Junglefowl	Gallus gallus		86	392
Common Pheasant	Phasianus colchicus		253	1948
Indian Peafowl	Pavo cristatus		42	33
Red-throated Loon	Gavia stellata		86	14
Black-throated Loon	Gavia arctica		38	6
Pacific Loon	Gavia pacifica		9	0
Great Northern Loon	Gavia immer		55	21
Yellow-billed Loon	Gavia adamsii		1	0
King Penguin	Aptenodytes patagonicus		26	12
Emperor Penguin	Aptenodytes forsteri		2	0
Gentoo Penguin	Pygoscelis papua		10	4
Adelie Penguin	Pygoscelis adeliae		18	0
Chinstrap Penguin	Pygoscelis antarcticus		13	0
Southern Rockhopper Penguin	Eudyptes chrysocome		10	0
Macaroni Penguin	Eudyptes chrysolophus		3	0
Magellanic Penguin	Spheniscus magellanicus		3	3
Humboldt Penguin	Spheniscus humboldti		0	0
Galapagos Penguin	Spheniscus mendiculus		1	0
Laysan Albatross	Phoebastria immutabilis		143	91
Black-footed Albatross	Phoebastria nigripes		22	18
Waved Albatross	Phoebastria irrorata		3	0
Short-tailed Albatross	Phoebastria albatrus		0	0
Wandering Albatross	Diomedea exulans		3	0
Southern Royal Albatross	Diomedea epomophora		6	1
Northern Royal Albatross	Diomedea sanfordi		0	0
Sooty Albatross	Phoebetria fusca		0	0
Light-mantled Albatross	Phoebetria palpebrata		2	1
Black-browed Albatross	Thalassarche melanophris		17	0
Shy Albatross	Thalassarche cauta		13	1
Grey-headed Albatross	Thalassarche chrysostoma		0	0
Atlantic Yellow-nosed Albatross	Thalassarche chlororhynchos		0	0
Buller's Albatross	Thalassarche bulleri		1	2
Southern Giant Petrel	Macronectes giganteus		1	1
Northern Giant Petrel	Macronectes halli		7	3
Northern Fulmar	Fulmarus glacialis		32	18
Southern Fulmar	Fulmarus glacialoides		1	0
Antarctic Petrel	Thalassoica antarctica		3	0
Cape Petrel	Daption capense		9	12
Snow Petrel	Pagodroma nivea		1	0
Blue Petrel	Halobaena caerulea		0	0
Broad-billed Prion	Pachyptila vittata		2	0
Salvin's Prion	Pachyptila salvini		0	0
